Name          Count         Minimum      Maximum         Average
--------      -----       ---------    ---------       ---------
N                24        0.639142    20.900103        6.864774
SIGMABR+          2        0.983482     9.215176        5.099329
RHO-             17        0.716532    13.789380        3.968287
RHO+             13        0.513929    16.244141        4.222495
PI0             140        0.116810    12.157909        2.159436
PI-             114        0.088954    22.284681        2.340767
K*BAR0           26        1.002857   104.258712       12.294355
RHO0             19        0.323995    19.279625        5.024160
B_1+              3       17.627896   118.641922       83.586592
NBAR              8        0.639142    19.426508        5.963271
PI+             121        0.085572    29.004929        2.612070
GAMMA           287        0.001432    10.590357        1.105681
K-               19        0.248015    16.959869        4.225271
OMEGA            18        0.752740    36.742593        5.890702
K+               16        0.765374    21.707800        5.841047
K*-             190        0.068699   233.088741        8.923647
A_1+              5       10.201847   117.598558       34.000239
KBAR0            11        1.002857     9.676666        3.896028
K_L0             15        0.777969    20.017979        3.790665
PI_2+             1      236.829838   236.829838      236.829838
KDL_2+            1       23.276174    23.276174       23.276174
K*_0BAR0          2        1.847214     6.368102        4.107658
DELTA-            3        1.415513    19.237141        8.599149
A_20              1      202.321165   202.321165      202.321165
F_2               1      231.871416   231.871416      231.871416
K*_2+             5       21.216501   236.829838       65.314476
K*+             184        0.085572   236.829838        7.633528
K0               13        0.312242    20.017979        5.024880
E+                3        0.497714     2.318738        1.134813
E-                2        0.068699     0.870066        0.469383
K_S0             11        0.312242    16.140265        5.062150
KL_1-             1       16.927484    16.927484       16.927484
B_DBAR0           2       27.694250    34.788364       31.241307
MU-               2        4.216293    11.892896        8.054594
NU_MUBAR          1       15.212743    15.212743       15.212743
D*+             184        0.085572   236.829838        7.633528
D0                2        7.353512    20.693863       14.023688
DELTA0            3        5.613196    20.621212       11.191390
DELTABR-          2        5.799401    18.231897       12.015649
A_2-              3       22.293080   233.088741       92.594633
PBAR             10        0.378610    12.761330        4.353026
A_1-              7       11.946041   116.766661       57.813589
DELTA++           2        1.991102     6.699323        4.345212
DLTABR--          4        0.440305     7.356865        3.042245
KD_30             1      301.695770   301.695770      301.695770
RHO_30            1     3035.774281  3035.774281     3035.774281
P               394        0.085572   236.829838        3.060307
ETA               6        0.450267     8.084970        2.597280
HL_10             1      106.778451   106.778451      106.778451
B_10              3      101.572389  1020.943827      408.316949
K*0             782        0.001432  3035.774281       10.327392
A_2+              2       21.216501    22.867268       22.041884
OMEGA_3           1       36.742593    36.742593       36.742593
XI*0              1        9.092914     9.092914        9.092914
XIBAR0            1        2.787153     2.787153        2.787153
DELTA+            3        1.991102     6.699323        3.902999
KD_3-             1       33.322769    33.322769       33.322769
SIGMA0            2        1.078210     2.785722        1.931966
XI0               1        9.092914     9.092914        9.092914
LAMBDABR          2        2.072906     7.151476        4.612191
LAMBDA            6        2.072906    17.882027        6.818562
B*-             190        0.068699   233.088741        8.923647
B*+             184        0.085572   236.829838        7.633528
DH_S1-            1      124.568008   124.568008      124.568008
D*-             190        0.068699   233.088741        8.923647
D-                3       18.710629    31.189182       23.146238
DELTABR+          2        4.976677     7.386334        6.181506
NU_MU             3        4.766882    15.212743        9.487628
MU+               2        3.067208     6.725376        4.896292
SIGMA_C+          1       32.727749    32.727749       32.727749
PHI               2        6.023574     6.110828        6.067201
DL_S1-            1      125.072792   125.072792      125.072792
LMBDA_C+          1       29.380371    29.380371       29.380371
B*BAR0           26        1.002857   104.258712       12.294355
DELTABR0          1        2.341713     2.341713        2.341713
TAU-              1        9.364506     9.364506        9.364506
D+                1       15.409226    15.409226       15.409226
NU_TAU            1        1.862430     1.862430        1.862430
NU_E              1        3.514002     3.514002        3.514002
DH_1-             1       19.345643    19.345643       19.345643
DBAR0             3        7.213315    34.788364       23.231976
SIGMA*0           2        1.078210     2.785722        1.931966
SGMA              1        9.334332     9.334332        9.334332
KH_1BAR0          1      104.258712   104.258712      104.258712
K*_20             2      202.321165   208.259280      205.290222
